village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end
Devihosur (Haveri),14.7833,75.3833,2024-06-20,2024-08-15,2024-09-10
Savanur (Haveri),14.9750,75.3350,2024-06-18,2024-08-10,2024-09-05
Gokak (Belagavi),16.1667,74.8333,2024-06-25,2024-08-20,2024-09-15
Ramdurg (Belagavi),15.9500,75.2833,2024-06-22,2024-08-12,2024-09-08
Athani (Belagavi),16.7267,75.0633,2024-07-05,2024-09-01,2024-09-25
Annigeri (Dharwad),15.4333,75.4333,2024-07-01,2024-08-25,2024-09-20
Kundgol (Dharwad),15.2567,75.2500,2024-06-28,2024-08-20,2024-09-15
Navalgund (Dharwad),15.5667,75.3500,2024-07-03,2024-08-28,2024-09-22
Aland (Kalaburagi),17.5667,76.5667,2024-06-15,2024-08-10,2024-09-05
Chincholi (Kalaburagi),17.4667,77.4167,2024-06-12,2024-08-05,2024-09-01
Sedam (Kalaburagi),17.1833,76.9333,2024-06-18,2024-08-08,2024-09-03
Afzalpur (Kalaburagi),17.2000,76.3667,2024-06-20,2024-08-15,2024-09-10
Sindhanur (Raichur),15.7667,76.7667,2024-07-10,2024-09-01,2024-09-30
Manvi (Raichur),15.9833,76.5333,2024-07-08,2024-08-28,2024-09-25
Devadurga (Raichur),15.7500,76.4833,2024-07-05,2024-08-25,2024-09-20
Lingsugur (Raichur),16.1567,76.5233,2024-07-12,2024-09-05,2024-10-01
Gangavathi (Koppal),15.4317,76.5317,2024-07-01,2024-08-25,2024-09-18
Kushtagi (Koppal),15.7567,76.1917,2024-07-06,2024-08-30,2024-09-25
Yelburga (Koppal),15.6000,76.0167,2024-07-04,2024-08-27,2024-09-22
Koppal Town (Koppal),15.3500,76.1500,2024-07-02,2024-08-22,2024-09-15
Indi (Vijayapura),17.1750,75.9533,2024-06-25,2024-08-18,2024-09-12
Muddebihal (Vijayapura),16.3333,76.1333,2024-06-28,2024-08-20,2024-09-15
Basavana Bagewadi (Vijayapura),16.5667,75.9667,2024-06-30,2024-08-22,2024-09-18
Sindgi (Vijayapura),16.9167,76.2333,2024-06-22,2024-08-14,2024-09-08
Ron (Gadag),15.6833,75.7333,2024-06-28,2024-08-22,2024-09-16
Mundargi (Gadag),15.2083,75.8833,2024-07-02,2024-08-26,2024-09-20
Nargund (Gadag),15.7167,75.3833,2024-06-25,2024-08-18,2024-09-12
Shirhatti (Gadag),15.2333,75.5667,2024-07-01,2024-08-24,2024-09-18
Ranebennur (Haveri),14.6200,75.6300,2024-06-22,2024-08-16,2024-09-10
Byadgi (Haveri),14.6733,75.4867,2024-06-24,2024-08-18,2024-09-12
Hangal (Haveri),14.7633,75.1233,2024-06-20,2024-08-14,2024-09-08
Hirekerur (Haveri),14.4567,75.3933,2024-06-26,2024-08-20,2024-09-15
Bellary Town (Bellary),15.1394,76.9214,2024-07-08,2024-09-01,2024-09-28
Hospet (Bellary),15.2689,76.3909,2024-07-05,2024-08-28,2024-09-22
Sandur (Bellary),15.0833,76.5500,2024-07-10,2024-09-03,2024-09-30
Siruguppa (Bellary),15.6333,76.8967,2024-07-12,2024-09-05,2024-10-01
Shorapur (Yadgir),16.5200,76.7600,2024-06-20,2024-08-15,2024-09-10
Shahapur (Yadgir),16.6933,76.8433,2024-06-18,2024-08-12,2024-09-06
