district,taluk,crop_name,season,historical_avg_yield,current_yield,yield_loss_pct
Bagalkot,,Rice,Kharif,3165.2,3394.0,-7.23
Bagalkot,,Rice,Rabi,2956.4,2842.0,3.87
Bagalkot,,Rice,Total,3146.6,3020.0,4.02
Bagalkot,,Wheat,Rabi,1291.6,1196.0,7.4
Bagalkot,,Wheat,Total,1291.6,1196.0,7.4
Bagalkot,,Maize,Kharif,2979.4,4190.0,-40.63
Bagalkot,,Maize,Rabi,3664.4,3683.0,-0.51
Bagalkot,,Maize,Summer,3736.5,5499.0,-47.17
Bagalkot,,Maize,Total,3064.6,4193.0,-36.82
Bagalkot,,Jowar,Kharif,1671.6,2616.0,-56.5
Bagalkot,,Jowar,Rabi,1137.2,1227.0,-7.9
Bagalkot,,Jowar,Total,1196.6,1301.0,-8.72
Bagalkot,,Bajra,Kharif,1241.8,1691.0,-36.17
Bagalkot,,Bajra,Total,1239.0,1691.0,-36.48
Bagalkot,,Ragi,Kharif,1511.6,1482.0,1.96
Bagalkot,,Ragi,Total,1511.6,1482.0,1.96
Bagalkot,,Small Millets,Kharif,780.8,426.0,45.44
Bagalkot,,Small Millets,Total,780.8,426.0,45.44
Bagalkot,,Shree Anna /Nutri Cereals,Kharif,1432.6,1783.0,-24.46
Bagalkot,,Shree Anna /Nutri Cereals,Rabi,1137.2,1227.0,-7.9
Bagalkot,,Shree Anna /Nutri Cereals,Total,1324.4,1415.0,-6.84
Bagalkot,,Nutri/Coarse Cereals,Kharif,2327.8,3601.0,-54.7
Bagalkot,,Nutri/Coarse Cereals,Rabi,1752.0,1961.0,-11.93
Bagalkot,,Nutri/Coarse Cereals,Summer,3555.5,5499.0,-54.66
Bagalkot,,Nutri/Coarse Cereals,Total,2196.0,3055.0,-39.12
Bagalkot,,Cereals,Kharif,2549.8,3601.0,-41.23
Bagalkot,,Cereals,Rabi,1933.2,1673.0,13.46
Bagalkot,,Cereals,Summer,3210.0,5499.0,-71.31
Bagalkot,,Cereals,Total,2406.6,2702.0,-12.27
Bagalkot,,Tur,Kharif,720.4,805.0,-11.74
Bagalkot,,Tur,Total,720.4,805.0,-11.74
Bagalkot,,Gram,Rabi,676.2,590.0,12.75
Bagalkot,,Gram,Total,676.2,590.0,12.75
Bagalkot,,Urad,Kharif,495.4,454.0,8.36
Bagalkot,,Urad,Rabi,500.0,429.0,14.2
Bagalkot,,Urad,Total,496.6,454.0,8.58
Bagalkot,,Moong,Kharif,367.6,211.0,42.6
Bagalkot,,Moong,Rabi,317.8,299.0,5.92
Bagalkot,,Moong,Total,366.0,211.0,42.35
Bagalkot,,Other Pulses,Kharif,569.0,326.0,42.71
Bagalkot,,Other Pulses,Rabi,630.6,446.0,29.27
Bagalkot,,Other Pulses,Total,603.0,385.0,36.15
Bagalkot,,Total Pulses,Total,647.0,598.0,7.57
Bagalkot,,Total Food Grains,Kharif,1842.6,1869.0,-1.43
Bagalkot,,Total Food Grains,Rabi,1397.0,1395.0,0.14
Bagalkot,,Total Food Grains,Summer,3210.0,5499.0,-71.31
Bagalkot,,Total Food Grains,Total,1738.6,1767.0,-1.63
Bellary,,Rice,Kharif,3165.2,4113.0,-29.94
Bellary,,Rice,Rabi,2956.4,2842.0,3.87
Bellary,,Rice,Summer,3054.5,3684.0,-20.61
Bellary,,Rice,Total,3146.6,3954.0,-25.66
Bellary,,Wheat,Rabi,1291.6,1255.0,2.83
Bellary,,Wheat,Total,1291.6,1255.0,2.83
Bellary,,Maize,Kharif,2979.4,3688.0,-23.78
Bellary,,Maize,Rabi,3664.4,4499.0,-22.78
Bellary,,Maize,Summer,3736.5,4328.0,-15.83
Bellary,,Maize,Total,3064.6,3849.0,-25.6
Bellary,,Jowar,Kharif,1671.6,3362.0,-101.12
Bellary,,Jowar,Rabi,1137.2,2823.0,-148.24
Bellary,,Jowar,Total,1196.6,3028.0,-153.05
Bellary,,Bajra,Kharif,1241.8,1676.0,-34.97
Bellary,,Bajra,Total,1239.0,1676.0,-35.27
Bellary,,Ragi,Kharif,1511.6,1366.0,9.63
Bellary,,Ragi,Total,1511.6,1366.0,9.63
Bellary,,Small Millets,Kharif,780.8,513.0,34.3
Bellary,,Small Millets,Total,780.8,513.0,34.3
Bellary,,Shree Anna /Nutri Cereals,Kharif,1432.6,2495.0,-74.16
Bellary,,Shree Anna /Nutri Cereals,Rabi,1137.2,2823.0,-148.24
Bellary,,Shree Anna /Nutri Cereals,Total,1324.4,2660.0,-100.85
Bellary,,Nutri/Coarse Cereals,Kharif,2327.8,3203.0,-37.6
Bellary,,Nutri/Coarse Cereals,Rabi,1752.0,3230.0,-84.36
Bellary,,Nutri/Coarse Cereals,Summer,3555.5,4328.0,-21.73
Bellary,,Nutri/Coarse Cereals,Total,2196.0,3226.0,-46.9
Bellary,,Cereals,Kharif,2549.8,3810.0,-49.42
Bellary,,Cereals,Rabi,1933.2,3223.0,-66.72
Bellary,,Cereals,Summer,3210.0,3694.0,-15.08
Bellary,,Cereals,Total,2406.6,3713.0,-54.28
Bellary,,Tur,Kharif,720.4,682.0,5.33
Bellary,,Tur,Total,720.4,682.0,5.33
Bellary,,Gram,Rabi,676.2,801.0,-18.46
Bellary,,Gram,Total,676.2,801.0,-18.46
Bellary,,Urad,Kharif,495.4,590.0,-19.1
Bellary,,Urad,Rabi,500.0,429.0,14.2
Bellary,,Urad,Total,496.6,468.0,5.76
Bellary,,Moong,Kharif,367.6,430.0,-16.97
Bellary,,Moong,Rabi,317.8,299.0,5.92
Bellary,,Moong,Total,366.0,399.0,-9.02
Bellary,,Other Pulses,Kharif,569.0,595.0,-4.57
Bellary,,Other Pulses,Rabi,630.6,485.0,23.09
Bellary,,Other Pulses,Total,603.0,537.0,10.95
Bellary,,Total Pulses,Total,647.0,708.0,-9.43
Bellary,,Total Food Grains,Kharif,1842.6,3529.0,-91.52
Bellary,,Total Food Grains,Rabi,1397.0,2764.0,-97.85
Bellary,,Total Food Grains,Summer,3210.0,3694.0,-15.08
Bellary,,Total Food Grains,Total,1738.6,3465.0,-99.3
Belagavi,,Rice,Kharif,3165.2,2561.0,19.09
Belagavi,,Rice,Rabi,2956.4,2842.0,3.87
Belagavi,,Rice,Summer,3054.5,3245.0,-6.24
Belagavi,,Rice,Total,3146.6,2562.0,18.58
Belagavi,,Wheat,Rabi,1291.6,1592.0,-23.26
Belagavi,,Wheat,Total,1291.6,1592.0,-23.26
Belagavi,,Maize,Kharif,2979.4,4143.0,-39.05
Belagavi,,Maize,Rabi,3664.4,3942.0,-7.58
Belagavi,,Maize,Summer,3736.5,4362.0,-16.74
