district,taluk,year,officially_declared_drought,drought_severity
Bagalkot,Badami,2023,1,Severe
Bagalkot,Bilgi,2023,1,Severe
Bagalkot,Hunagund,2023,1,Severe
Bagalkot,Jamkhandi,2023,1,Severe
Bagalkot,Mudhol,2023,1,Severe
Belagavi,Athani,2023,1,Severe
Belagavi,Bailhongal,2023,1,Severe
Belagavi,Chikkodi,2023,1,Severe
Belagavi,Gokak,2023,1,Severe
Belagavi,Hukkeri,2023,1,Severe
Belagavi,Ramdurg,2023,1,Severe
Belagavi,Raybag,2023,1,Severe
Belagavi,Saundatti,2023,1,Severe
Bellary,Bellary Town,2023,1,Severe
Bellary,Hagaribommanahalli,2023,1,Severe
Bellary,Hoovina Hadagali,2023,1,Severe
Bellary,Hospet,2023,1,Severe
Bellary,Kampli,2023,1,Severe
Bellary,Kudligi,2023,1,Severe
Bellary,Sandur,2023,1,Severe
Bellary,Siruguppa,2023,1,Severe
Bidar,Aurad,2023,1,Severe
Bidar,Basavakalyan,2023,1,Severe
Bidar,Bhalki,2023,1,Severe
Bidar,Humnabad,2023,1,Severe
Bidar,Kamalnagar,2023,1,Severe
Chamarajanagar,Gundlupet,2023,1,Severe
Chamarajanagar,Kollegal,2023,1,Severe
Chikkaballapur,Gauribidanur,2023,1,Severe
Chikkamagaluru,Kadur,2023,1,Severe
Chikkamagaluru,Tarikere,2023,1,Severe
Chitradurga,Challakere,2023,1,Severe
Chitradurga,Hiriyur,2023,1,Severe
Chitradurga,Holalkere,2023,1,Severe
Chitradurga,Hosadurga,2023,1,Severe
Chitradurga,Molakalmuru,2023,1,Severe
Davanagere,Channagiri,2023,1,Severe
Davanagere,Harihara,2023,1,Severe
Davanagere,Honnali,2023,1,Moderate
Davanagere,Jagalur,2023,1,Severe
Davanagere,Nyamathi,2023,1,Moderate
Dharwad,Annigeri,2023,1,Severe
Dharwad,Hubballi Rural,2023,1,Severe
Dharwad,Kalghatgi,2023,1,Severe
Dharwad,Kundgol,2023,1,Severe
Dharwad,Navalgund,2023,1,Severe
Gadag,Gajendragad,2023,1,Severe
Gadag,Mundargi,2023,1,Severe
Gadag,Nargund,2023,1,Severe
Gadag,Ron,2023,1,Severe
Gadag,Shirhatti,2023,1,Severe
Hassan,Arsikere,2023,1,Severe
Hassan,Channarayapatna,2023,1,Severe
Hassan,Holenarasipura,2023,1,Severe
Haveri,Byadgi,2023,1,Severe
Haveri,Devihosur,2023,1,Severe
Haveri,Hangal,2023,1,Moderate
Haveri,Hirekerur,2023,1,Severe
Haveri,Ranebennur,2023,1,Severe
Haveri,Savanur,2023,1,Severe
Haveri,Shiggaon,2023,1,Severe
Kalaburagi,Afzalpur,2023,1,Severe
Kalaburagi,Aland,2023,1,Severe
Kalaburagi,Chincholi,2023,1,Severe
Kalaburagi,Chittapur,2023,1,Severe
Kalaburagi,Jewargi,2023,1,Severe
Kalaburagi,Sedam,2023,1,Severe
Kalaburagi,Shahabad,2023,1,Severe
Koppal,Gangavathi,2023,1,Severe
Koppal,Kanakagiri,2023,1,Severe
Koppal,Koppal Town,2023,1,Severe
Koppal,Kushtagi,2023,1,Severe
Koppal,Yelburga,2023,1,Severe
Mandya,Krishnarajpet,2023,1,Severe
Mandya,Maddur,2023,1,Severe
Mandya,Malavalli,2023,1,Severe
Mandya,Pandavapura,2023,1,Severe
Mysuru,Heggadadevankote,2023,1,Moderate
Mysuru,Hunsur,2023,1,Severe
Mysuru,Nanjangud,2023,1,Severe
Mysuru,Piriyapatna,2023,1,Severe
Mysuru,T. Narasipura,2023,1,Severe
Raichur,Devadurga,2023,1,Severe
Raichur,Gudur,2023,1,Severe
Raichur,Lingsugur,2023,1,Severe
Raichur,Manvi,2023,1,Severe
Raichur,Maski,2023,1,Severe
Raichur,Sindhanur,2023,1,Severe
Shivamogga,Bhadravati,2023,1,Moderate
Shivamogga,Sagar,2023,1,Moderate
Shivamogga,Shikaripura,2023,1,Severe
Shivamogga,Soraba,2023,1,Moderate
Shivamogga,Thirthahalli,2023,1,Moderate
Tumakuru,Chikkanayakanahalli,2023,1,Severe
Tumakuru,Gubbi,2023,1,Severe
Tumakuru,Kunigal,2023,1,Severe
Tumakuru,Madhugiri,2023,1,Severe
Tumakuru,Pavagada,2023,1,Severe
Tumakuru,Sira,2023,1,Severe
Tumakuru,Tiptur,2023,1,Severe
Tumakuru,Turuvekere,2023,1,Severe
Vijayapura,Basavana Bagewadi,2023,1,Severe
Vijayapura,Chadchan,2023,1,Severe
Vijayapura,Indi,2023,1,Severe
Vijayapura,Muddebihal,2023,1,Severe
Vijayapura,Sindgi,2023,1,Severe
Vijayapura,Talikoti,2023,1,Severe
Yadgir,Gurmitkal,2023,1,Severe
Yadgir,Hunasagi,2023,1,Severe
Yadgir,Shahapur,2023,1,Severe
Yadgir,Shorapur,2023,1,Severe
Yadgir,Surapura,2023,1,Severe
