village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end,s2_pre_date,s2_pre_ndvi_mean,s2_pre_ndwi_mean,s2_pre_cloud_pct,s1_pre_fallback_used,s1_pre_date,s1_pre_vv_db_mean,s1_pre_vh_db_mean,s2_post_date,s2_post_ndvi_mean,s2_post_ndwi_mean,s2_post_cloud_pct,s1_post_fallback_used,s1_post_date,s1_post_vv_db_mean,s1_post_vh_db_mean,actual_rainfall_total_mm,actual_rainfall_loss_window_mm,normal_rainfall_total_mm,normal_rainfall_loss_window_mm,rainfall_deviation_pct,fetch_status,error_log
Devihosur (Haveri),14.7833,75.3833,2024-06-20,2024-08-15,2024-09-10,2024-06-14,0.2477,-0.2316,99.22,True,2024-06-19,-10.2,-17.37,2024-09-07,0.3734,-0.3224,97.84,True,2024-09-11,-8.19,-14.48,631.7,208.5,404.01,88.87,56.36,SUCCESS,
Savanur (Haveri),14.975,75.335,2024-06-18,2024-08-10,2024-09-05,2024-06-19,0.027,-0.0362,100.0,True,2024-06-19,-6.6,-14.39,2024-09-07,-0.0245,0.0509,100.0,True,2024-08-30,-6.3,-13.94,586.4,173.0,446.34,109.33,31.38,SUCCESS,
Gokak (Belagavi),16.1667,74.8333,2024-06-25,2024-08-20,2024-09-15,2024-06-27,0.0323,-0.0239,100.0,True,,,,2024-09-15,0.3644,-0.3839,40.98,False,,,,483.6,92.8,411.66,119.23,17.48,PARTIAL,Pre-loss S1 Fallback: No Sentinel-1 acquisitions in requested time window
Ramdurg (Belagavi),15.95,75.2833,2024-06-22,2024-08-12,2024-09-08,2024-06-24,-0.0368,0.057,100.0,True,2024-06-19,-9.9,-16.84,2024-09-07,0.4713,-0.4101,100.0,True,2024-09-11,-9.04,-15.33,488.8,175.0,320.73,96.85,52.4,SUCCESS,
Athani (Belagavi),16.7267,75.0633,2024-07-05,2024-09-01,2024-09-25,2024-07-07,0.0413,-0.0387,100.0,True,2024-07-01,-4.88,-13.97,2024-09-30,0.1969,-0.1822,74.08,True,2024-09-23,-3.69,-13.06,607.0,133.5,351.45,113.2,72.71,SUCCESS,
Annigeri (Dharwad),15.4333,75.4333,2024-07-01,2024-08-25,2024-09-20,2024-06-29,0.0803,-0.0549,100.0,True,2024-07-01,-8.07,-16.17,2024-09-22,0.0389,-0.0311,100.0,True,2024-09-23,-6.81,-14.54,494.7,84.5,353.39,103.9,39.99,SUCCESS,
Kundgol (Dharwad),15.2567,75.25,2024-06-28,2024-08-20,2024-09-15,2024-06-29,0.0171,-0.0136,100.0,True,2024-07-01,-7.31,-15.47,2024-09-17,0.0549,-0.0344,100.0,True,2024-09-11,-7.2,-14.56,580.1,126.0,427.61,109.49,35.66,SUCCESS,
Navalgund (Dharwad),15.5667,75.35,2024-07-03,2024-08-28,2024-09-22,2024-07-04,0.0489,-0.0424,100.0,True,2024-07-01,-10.45,-18.72,2024-09-22,0.1556,-0.1468,100.0,True,2024-09-23,-8.0,-14.88,481.7,78.2,357.18,96.76,34.86,SUCCESS,
Aland (Kalaburagi),17.5667,76.5667,2024-06-15,2024-08-10,2024-09-05,2024-06-14,0.0287,-0.0216,100.0,True,2024-06-19,-5.07,-13.62,2024-09-07,0.0063,0.0343,100.0,True,2024-08-30,-4.91,-13.68,822.3,297.2,430.72,143.46,90.91,SUCCESS,
Chincholi (Kalaburagi),17.4667,77.4167,2024-06-12,2024-08-05,2024-09-01,2024-06-14,0.1383,-0.1383,100.0,True,2024-06-14,-7.93,-15.91,2024-09-02,-0.0068,-0.0006,100.0,True,2024-08-30,-7.11,-14.9,847.4,309.9,521.67,186.32,62.44,SUCCESS,
