"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Karnataka","Bagalkote","Rice","Kharif","0.00","0.00","3394.00"
"Karnataka","Bagalkote","Rice","Rabi","0.00","0.00","2842.00"
"Karnataka","Bagalkote","Rice","Total","0.00","0.00","3020.00"
"Karnataka","Bagalkote","Wheat","Rabi","0.37","0.44","1196.00"
"Karnataka","Bagalkote","Wheat","Total","0.37","0.44","1196.00"
"Karnataka","Bagalkote","Maize","Kharif","0.68","2.85","4190.00"
"Karnataka","Bagalkote","Maize","Rabi","0.18","0.67","3683.00"
"Karnataka","Bagalkote","Maize","Summer","0.07","0.40","5499.00"
"Karnataka","Bagalkote","Maize","Total","0.94","3.92","4193.00"
"Karnataka","Bagalkote","Jowar","Kharif","0.02","0.06","2616.00"
"Karnataka","Bagalkote","Jowar","Rabi","0.43","0.53","1227.00"
"Karnataka","Bagalkote","Jowar","Total","0.45","0.59","1301.00"
"Karnataka","Bagalkote","Bajra","Kharif","0.19","0.33","1691.00"
"Karnataka","Bagalkote","Bajra","Total","0.19","0.33","1691.00"
"Karnataka","Bagalkote","Ragi","Kharif","0.00","0.00","1482.00"
"Karnataka","Bagalkote","Ragi","Total","0.00","0.00","1482.00"
"Karnataka","Bagalkote","Small Millets","Kharif","0.00","0.00","426.00"
"Karnataka","Bagalkote","Small Millets","Total","0.00","0.00","426.00"
"Karnataka","Bagalkote","Shree Anna /Nutri Cereals","Kharif","0.22","0.39","1783.00"
"Karnataka","Bagalkote","Shree Anna /Nutri Cereals","Rabi","0.43","0.53","1227.00"
"Karnataka","Bagalkote","Shree Anna /Nutri Cereals","Total","0.65","0.92","1415.00"
"Karnataka","Bagalkote","Nutri/Coarse Cereals","Kharif","0.90","3.24","3601.00"
"Karnataka","Bagalkote","Nutri/Coarse Cereals","Rabi","0.61","1.20","1961.00"
"Karnataka","Bagalkote","Nutri/Coarse Cereals","Summer","0.07","0.40","5499.00"
"Karnataka","Bagalkote","Nutri/Coarse Cereals","Total","1.59","4.84","3055.00"
"Karnataka","Bagalkote","Cereals","Kharif","0.90","3.24","3601.00"
"Karnataka","Bagalkote","Cereals","Rabi","0.98","1.65","1673.00"
"Karnataka","Bagalkote","Cereals","Summer","0.07","0.40","5499.00"
"Karnataka","Bagalkote","Cereals","Total","1.96","5.29","2702.00"
"Karnataka","Bagalkote","Tur","Kharif","0.77","0.62","805.00"
"Karnataka","Bagalkote","Tur","Total","0.77","0.62","805.00"
"Karnataka","Bagalkote","Gram","Rabi","0.32","0.19","590.00"
"Karnataka","Bagalkote","Gram","Total","0.32","0.19","590.00"
"Karnataka","Bagalkote","Urad","Kharif","0.08","0.04","454.00"
"Karnataka","Bagalkote","Urad","Rabi","0.00","0.00","429.00"
"Karnataka","Bagalkote","Urad","Total","0.08","0.04","454.00"
