"Crop","Season","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Production-2019-20","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Yield-2019-20","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Rice","Kharif","9.16","10.38","10.08","9.46","8.49","8.86","27.75","31.45","31.22","31.63","28.23","30.08","3030.00","3030.00","3097.00","3344.00","3325.00","3395.00"
"Rice","Rabi","2.69","3.59","3.90","0.92","0.43","0.41","8.59","11.47","11.97","2.42","1.16","1.17","3193.00","3193.00","3069.00","2633.00","2694.00","2842.00"
"Rice","Summer","","","","2.90","0.61","2.54","","","","8.74","1.89","8.24","","","","3016.00","3093.00","3245.00"
"Rice","Total","11.85","13.97","13.98","13.28","9.53","11.81","36.34","42.92","43.18","42.80","31.27","39.49","3067.00","3072.00","3089.00","3223.00","3282.00","3344.00"
"Wheat","Rabi","1.50","2.03","1.65","1.46","1.45","1.63","1.80","2.62","2.12","2.00","1.90","2.05","1198.00","1291.00","1287.00","1373.00","1309.00","1255.00"
"Wheat","Total","1.50","2.03","1.65","1.46","1.45","1.63","1.80","2.62","2.12","2.00","1.90","2.05","1198.00","1291.00","1287.00","1373.00","1309.00","1255.00"
"Maize","Kharif","12.87","15.32","13.98","15.46","17.45","15.85","37.40","46.74","45.18","46.15","47.53","49.65","2906.00","3051.00","3231.00","2985.00","2724.00","3133.00"
"Maize","Rabi","1.37","1.94","1.94","2.95","1.92","2.68","5.18","6.88","7.02","10.30","7.46","9.61","3781.00","3546.00","3621.00","3490.00","3884.00","3584.00"
"Maize","Summer","","","","0.71","0.35","0.61","","","","2.67","1.30","2.64","","","","3755.00","3718.00","4328.00"
"Maize","Total","14.24","17.26","15.92","19.12","19.72","19.14","42.58","53.62","52.21","59.11","56.29","61.90","2990.00","3107.00","3279.00","3092.00","2855.00","3234.00"
"Barley","Rabi","","","","","","","","","0.00","","","","","","","","",""
"Barley","Total","","","","","","","","","0.00","","","","","","","","",""
"Jowar","Kharif","1.28","0.88","0.75","0.62","0.63","1.08","1.77","1.77","1.21","0.99","1.10","2.14","1387.00","2006.00","1617.00","1604.00","1744.00","1982.00"
"Jowar","Rabi","6.99","6.62","5.40","4.93","7.45","5.40","8.10","7.27","6.10","5.82","8.33","6.01","1159.00","1098.00","1130.00","1181.00","1118.00","1113.00"
"Jowar","Total","8.27","7.50","6.15","5.55","8.08","6.48","9.87","9.04","7.31","6.82","9.43","8.15","1194.00","1205.00","1189.00","1228.00","1167.00","1258.00"
"Bajra","Kharif","3.22","2.22","1.48","1.16","1.28","1.19","3.67","2.76","1.71","1.62","1.63","1.54","1140.00","1241.00","1158.00","1400.00","1270.00","1290.00"
"Bajra","Summer","","","","0.12","","","","","","0.15","","","","","","1250.00","",""
"Bajra","Total","3.22","2.22","1.48","1.28","1.28","1.19","3.67","2.76","1.71","1.77","1.63","1.54","1140.00","1241.00","1158.00","1386.00","1270.00","1290.00"
"Ragi","Kharif","6.41","7.85","8.46","8.12","8.27","8.79","11.64","13.70","11.27","11.48","10.35","13.59","1816.00","1745.00","1332.00","1414.00","1251.00","1546.00"
"Ragi","Total","6.41","7.85","8.46","8.12","8.27","8.79","11.64","13.70","11.27","11.48","10.35","13.59","1816.00","1745.00","1332.00","1414.00","1251.00","1546.00"
"Small Millets","Kharif","0.49","0.26","0.29","0.32","0.29","0.51","0.37","0.20","0.24","0.25","0.22","0.74","765.00","778.00","823.00","792.00","746.00","1445.00"
"Small Millets","Total","0.49","0.26","0.29","0.32","0.29","0.51","0.37","0.20","0.24","0.25","0.22","0.74","765.00","778.00","823.00","792.00","746.00","1445.00"
"Shree Anna /Nutri Cereals","Kharif","11.40","11.21","10.98","10.22","10.47","11.57","17.46","18.42","14.43","14.35","13.29","18.00","1532.00","1643.00","1315.00","1404.00","1269.00","1556.00"
"Shree Anna /Nutri Cereals","Rabi","6.99","6.62","5.40","4.93","7.45","5.40","8.10","7.27","6.10","5.82","8.33","6.01","1159.00","1098.00","1130.00","1181.00","1118.00","1113.00"
"Shree Anna /Nutri Cereals","Summer","","","","0.12","","","","","","0.15","","","","","","1250.00","",""
"Shree Anna /Nutri Cereals","Total","18.39","17.83","16.38","15.27","17.92","16.97","25.56","25.69","20.54","20.33","21.62","24.01","1390.00","1441.00","1254.00","1331.00","1206.00","1415.00"
"Nutri/Coarse Cereals","Kharif","24.27","26.53","24.96","25.68","27.92","27.42","54.86","65.16","59.62","60.50","60.82","67.65","2261.00","2456.00","2388.00","2356.00","2178.00","2467.00"
"Nutri/Coarse Cereals","Rabi","8.36","8.56","7.34","7.88","9.37","8.08","13.28","14.15","13.13","16.12","15.79","15.62","1589.00","1653.00","1788.00","2045.00","1685.00","1933.00"
"Nutri/Coarse Cereals","Summer","","","","0.83","0.35","0.61","","","","2.82","1.30","2.64","","","","3393.00","3718.00","4328.00"
"Nutri/Coarse Cereals","Total","32.63","35.09","32.30","34.39","37.64","36.11","68.14","79.31","72.74","79.44","77.91","85.91","2088.00","2260.00","2252.00","2310.00","2070.00","2379.00"
"Cereals","Kharif","33.43","36.91","35.04","35.14","36.41","36.28","82.61","96.61","90.83","92.14","89.05","97.73","2471.00","2618.00","2592.00","2622.00","2446.00","2694.00"
"Cereals","Rabi","12.55","14.18","12.89","10.26","11.25","10.12","23.67","28.24","27.22","20.54","18.84","18.83","1886.00","1991.00","2112.00","2002.00","1675.00","1860.00"
"Cereals","Summer","","","","3.73","0.96","3.15","","","","11.56","3.19","10.88","","","","3099.00","3321.00","3455.00"
"Cereals","Total","45.98","51.09","47.93","49.13","48.62","49.55","106.28","124.85","118.05","124.24","111.08","127.44","2312.00","2444.00","2463.00","2529.00","2285.00","2572.00"
"Tur","Kharif","15.45","16.31","17.19","12.20","13.65","17.45","11.26","12.38","11.45","8.55","10.20","9.98","729.00","759.00","666.00","701.00","747.00","572.00"
"Tur","Total","15.45","16.31","17.19","12.20","13.65","17.45","11.26","12.38","11.45","8.55","10.20","9.98","729.00","759.00","666.00","701.00","747.00","572.00"
"Gram","Rabi","8.64","7.13","7.12","8.22","6.38","6.79","6.76","4.46","4.91","5.59","3.86","4.05","782.00","625.00","689.00","680.00","605.00","597.00"
"Gram","Total","8.64","7.13","7.12","8.22","6.38","6.79","6.76","4.46","4.91","5.59","3.86","4.05","782.00","625.00","689.00","680.00","605.00","597.00"
"Urad","Kharif","0.65","0.85","0.75","0.67","0.44","1.02","0.32","0.49","0.37","0.31","0.20","0.60","495.00","577.00","493.00","463.00","449.00","590.00"
"Urad","Rabi","0.03","0.04","0.04","0.04","0.04","0.02","0.01","0.02","0.02","0.02","0.02","0.01","344.00","549.00","529.00","521.00","557.00","429.00"
"Urad","Total","0.68","0.89","0.79","0.71","0.48","1.04","0.33","0.51","0.39","0.33","0.22","0.61","488.00","576.00","495.00","466.00","458.00","587.00"
"Moong","Kharif","3.72","4.27","4.01","4.88","2.83","5.54","1.38","1.73","1.46","1.88","0.89","2.38","371.00","405.00","363.00","385.00","314.00","430.00"
"Moong","Rabi","0.10","0.26","0.18","0.11","0.14","0.13","0.03","0.09","0.06","0.03","0.05","0.04","296.00","346.00","307.00","307.00","333.00","299.00"
"Moong","Total","3.82","4.53","4.19","4.99","2.97","5.67","1.41","1.82","1.51","1.91","0.94","2.42","369.00","402.00","361.00","383.00","315.00","427.00"
"Lentil","Rabi","","","0.00","","","","","","0.00","","","","","","0.00","","",""
"Lentil","Total","","","0.00","","","","","","0.00","","","","","","0.00","","",""
"Other Pulses","Kharif","1.54","0.95","1.07","1.03","1.54","1.85","1.11","0.56","0.53","0.51","0.84","1.00","721.00","589.00","495.00","498.00","542.00","543.00"
"Other Pulses","Rabi","0.98","1.45","1.51","1.11","1.07","1.28","0.69","0.92","0.93","0.67","0.64","0.80","700.00","637.00","615.00","602.00","599.00","623.00"
"Other Pulses","Total","2.52","2.40","2.58","2.14","2.61","3.13","1.80","1.48","1.46","1.18","1.48","1.80","713.00","618.00","566.00","552.00","566.00","575.00"
"Total Pulses","Kharif","21.36","22.38","23.02","18.78","18.46","25.86","14.07","15.16","13.80","11.25","12.12","13.97","659.00","677.00","600.00","599.00","656.00","540.00"
"Total Pulses","Rabi","9.76","8.88","8.85","9.48","7.63","8.22","7.48","5.49","5.91","6.31","4.57","4.90","767.00","618.00","668.00","666.00","599.00","596.00"
"Total Pulses","Total","31.12","31.26","31.87","28.26","26.09","34.08","21.56","20.65","19.72","17.57","16.69","18.87","693.00","661.00","619.00","622.00","640.00","554.00"
"Total Food Grains","Kharif","54.79","59.29","58.06","53.92","54.87","62.14","96.69","111.77","104.64","103.39","101.17","111.70","1765.00","1885.00","1802.00","1917.00","1844.00","1798.00"
"Total Food Grains","Rabi","22.31","23.06","21.74","19.74","18.88","18.34","31.15","33.73","33.13","26.86","23.41","23.72","1397.00","1463.00","1524.00","1361.00","1240.00","1294.00"
"Total Food Grains","Summer","","","","3.73","0.96","3.15","","","","11.56","3.19","10.88","","","","3099.00","3321.00","3455.00"
"Total Food Grains","Total","77.09","82.35","79.80","77.39","74.71","83.63","127.84","145.50","137.77","141.81","127.77","146.31","1658.00","1767.00","1726.00","1832.00","1710.00","1749.00"
"Groundnut","Kharif","3.93","4.99","3.98","2.92","2.59","2.63","3.70","4.70","2.95","2.37","1.48","2.45","941.00","941.00","740.00","812.00","571.00","930.00"
"Groundnut","Rabi","1.11","2.22","1.78","1.47","1.00","1.13","1.33","2.51","1.93","3.20","0.80","1.19","1198.00","1131.00","1084.00","2180.00","800.00","1053.00"
"Groundnut","Summer","","","","0.26","0.14","0.21","","","","0.23","0.14","0.18","","","","882.00","987.00","849.00"
"Groundnut","Total","5.04","7.21","5.76","4.65","3.73","3.97","5.03","7.21","4.88","5.80","2.42","3.81","998.00","999.00","846.00","1248.00","648.00","961.00"
"Castorseed","Kharif","0.04","0.04","0.02","0.03","0.04","0.03","0.04","0.04","0.02","0.02","0.01","0.02","970.00","896.00","918.00","631.00","199.00","663.00"
"Castorseed","Total","0.04","0.04","0.02","0.03","0.04","0.03","0.04","0.04","0.02","0.02","0.01","0.02","970.00","896.00","918.00","631.00","199.00","663.00"
"Sesamum","Kharif","0.29","0.22","0.31","0.20","0.18","0.27","0.25","0.20","0.23","0.13","0.14","0.19","864.00","921.00","754.00","650.00","780.00","697.00"
"Sesamum","Total","0.29","0.22","0.31","0.20","0.18","0.27","0.25","0.20","0.23","0.13","0.14","0.19","864.00","921.00","754.00","650.00","780.00","697.00"
"Nigerseed","Kharif","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","248.00","247.00","250.00","233.00","200.00","410.00"
"Nigerseed","Total","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","248.00","247.00","250.00","233.00","200.00","410.00"
"Soybean","Kharif","3.20","3.11","3.81","4.60","3.89","3.73","3.79","3.77","4.37","5.45","4.13","4.83","1183.00","1212.00","1147.00","1184.00","1062.00","1294.00"
"Soybean","Total","3.20","3.11","3.81","4.60","3.89","3.73","3.79","3.77","4.37","5.45","4.13","4.83","1183.00","1212.00","1147.00","1184.00","1062.00","1294.00"
"Sunflower","Kharif","1.01","0.75","1.15","1.86","0.58","0.64","0.80","0.65","0.97","1.82","0.53","0.63","796.00","863.00","846.00","978.00","911.00","986.00"
"Sunflower","Rabi","0.28","0.45","0.47","0.57","0.15","0.35","0.23","0.43","0.39","0.49","0.17","0.39","821.00","956.00","830.00","865.00","1127.00","1102.00"
"Sunflower","Summer","","","","0.03","0.02","0.03","","","","0.04","0.03","0.04","","","","1218.00","1336.00","1192.00"
"Sunflower","Total","1.29","1.20","1.62","2.46","0.75","1.02","1.03","1.08","1.36","2.35","0.72","1.05","802.00","898.00","841.00","955.00","966.00","1032.00"
"Rapeseed & Mustard","Rabi","0.00","0.00","0.00","","0.04","","0.00","0.00","0.00","","0.01","","0.00","209.00","225.00","","188.00",""
"Rapeseed & Mustard","Total","0.00","0.00","0.00","","0.04","","0.00","0.00","0.00","","0.01","","0.00","209.00","225.00","","188.00",""
"Linseed","Rabi","0.01","0.01","0.01","0.01","","","0.01","0.00","0.00","0.00","","","513.00","449.00","357.00","338.00","",""
"Linseed","Total","0.01","0.01","0.01","0.01","","","0.01","0.00","0.00","0.00","","","513.00","449.00","357.00","338.00","",""
"Safflower","Rabi","0.26","0.29","0.42","0.62","0.17","0.19","0.25","0.19","0.34","0.56","0.13","0.14","972.00","665.00","809.00","897.00","745.00","732.00"
"Safflower","Total","0.26","0.29","0.42","0.62","0.17","0.19","0.25","0.19","0.34","0.56","0.13","0.14","972.00","665.00","809.00","897.00","745.00","732.00"
"Total Oil Seeds","Kharif","8.48","9.12","9.27","9.61","7.28","7.30","8.58","9.35","8.54","9.79","6.29","8.11","1012.00","1026.00","921.00","1018.00","863.00","1111.00"
"Total Oil Seeds","Rabi","1.66","2.97","2.68","2.67","1.36","1.67","1.82","3.14","2.66","4.26","1.10","1.71","1095.00","1055.00","993.00","1594.00","811.00","1027.00"
"Total Oil Seeds","Summer","","","","0.29","0.16","0.24","","","","0.27","0.16","0.21","","","","917.00","1031.00","892.00"
"Total Oil Seeds","Total","10.14","12.09","11.96","12.57","8.80","9.21","10.40","12.49","11.21","14.31","7.56","10.04","1025.00","1033.00","937.00","1138.00","858.00","1090.00"
"Sugarcane","Kharif","4.29","4.43","6.37","6.59","5.43","5.40","381.81","425.28","611.52","593.46","418.11","480.60","89000.00","96000.00","96000.00","90000.00","77000.00","89000.00"
"Sugarcane","Total","4.29","4.43","6.37","6.59","5.43","5.40","381.81","425.28","611.52","593.46","418.11","480.60","89000.00","96000.00","96000.00","90000.00","77000.00","89000.00"
"Cotton","Kharif","8.17","8.20","6.74","9.49","7.43","6.78","23.30","23.20","19.55","25.68","20.59","22.73","485.00","481.00","493.00","460.00","471.00","570.00"
"Cotton","Total","8.17","8.20","6.74","9.49","7.43","6.78","23.30","23.20","19.55","25.68","20.59","22.73","485.00","481.00","493.00","460.00","471.00","570.00"
"Jute","Kharif","","","","","","","","","0.00","","","","","","","","",""
"Jute","Total","","","","","","","","","0.00","","","","","","","","",""
"Mesta","Kharif","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","","0.00","0.00","0.00","","",""
"Mesta","Total","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","","0.00","0.00","0.00","","",""
"Jute & Mesta","Kharif","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","","0.00","0.00","0.00","","",""
"Jute & Mesta","Total","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","","0.00","0.00","0.00","","",""
