state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Karnataka,Davangere,Davangere APMC,Onion,Onion,Local,29/08/2026,3600,4500,4000
Karnataka,Davangere,Davangere APMC,Drumstick,Drumstick,Local,29/08/2026,1000,2500,2000
Karnataka,Davangere,Davangere APMC,Beans,Beans (Whole),Local,29/08/2026,1000,3300,2100
Karnataka,Davangere,Davangere APMC,Lime,Lime,Local,29/08/2026,2000,5600,3500
Karnataka,Davangere,Davangere APMC,Cauliflower,Cauliflower,Local,29/08/2026,700,2100,1200
Karnataka,Davangere,Davangere APMC,Brinjal,Round/Long,Local,29/08/2026,600,1200,900
Karnataka,Davangere,Davangere APMC,Papaya,Papaya,Local,29/08/2026,1000,2000,1500
Karnataka,Chamarajanagar,Chamarajanagar APMC,Carrot,Carrot,Local,29/08/2026,1500,2500,2000
Karnataka,Chamarajanagar,Chamarajanagar APMC,Cabbage,Cabbage,Local,29/08/2026,1000,1200,1100
Karnataka,Kalaburagi,Kalaburagi APMC,Wheat,Sharbati,Local,29/08/2026,2200,3150,2650
Karnataka,Kalaburagi,Kalaburagi APMC,Rice,Broken Rice,Local,29/08/2026,2350,3100,2700
Karnataka,Kalaburagi,Kalaburagi APMC,Jowar(Sorghum),Jowar ( White),Non-FAQ,29/08/2026,2200,4900,4000
Karnataka,Chikkaballapur,Chintamani APMC,Green Chilli,Green Chilly,Local,29/08/2026,3000,5000,4000
Karnataka,Koppal,Kustagi APMC,Sunflower/Sunflower Seed,Hybrid,FAQ,29/08/2026,8150,8250,8222
Karnataka,Bengaluru Rural,Doddaballapur APMC,Tomato,Tomato,Medium,29/08/2026,800,1200,1000
Karnataka,Bengaluru Rural,Doddaballapur APMC,Banana - Green,Banana - Green,Medium,29/08/2026,5000,6000,5500
Karnataka,Bengaluru Rural,Doddaballapur APMC,Maize,Local,FAQ,29/08/2026,3018,3018,3018
Karnataka,Chitradurga,Hiriyur APMC,Coconut,Small,Local,29/08/2026,22000,22000,22000
Karnataka,Raichur,Sindhanur APMC,Bengal Gram(Gram)(Whole),Average (Whole),FAQ,29/08/2026,5900,6350,5900
Karnataka,Koppal,Gangavathi APMC,Rice,Other,Small,29/08/2026,2800,2820,2800
Karnataka,Koppal,Gangavathi APMC,Maize,Local,Non-FAQ,29/08/2026,2520,2654,2580
Karnataka,Haveri,Ranebennur APMC,Tomato,Tomato,Medium,29/08/2026,600,1700,1000
Karnataka,Haveri,Ranebennur APMC,Green Chilli,Green Chilly,Medium,29/08/2026,1300,2500,2000
Karnataka,Mysuru,Hunsur APMC,Ginger(Green),Green Ginger,Local,29/08/2026,2300,2300,2300
Karnataka,Mysuru,Hunsur APMC,Coconut,Small,Local,29/08/2026,20000,20000,20000
Karnataka,Mysuru,Mysuru APMC,Apple,Kasmir/Shimla - II,Medium,29/08/2026,17370,17370,17370
Karnataka,Mysuru,Mysuru APMC,Pineapple,Pine Apple,Medium,29/08/2026,2560,2560,2560
Karnataka,Mysuru,Mysuru APMC,Pomegranate,Pomogranate,Medium,29/08/2026,12000,14000,13000
Karnataka,Vijayapura,Talikot APMC,Red gram/Arhar/Tur(whole),Arhar (Whole),FAQ,29/08/2026,6511,7900,7520
Karnataka,Bidar,Basava Kalayana APMC,Wheat,Mill Quality,FAQ,29/08/2026,3300,4650,4200
Karnataka,Bidar,Basava Kalayana APMC,Safflower,Safflower,FAQ,29/08/2026,4850,5176,4850
Karnataka,Bengaluru South,Channapatna APMC,Brinjal,Brinjal,Local,29/08/2026,2500,3000,2800
Karnataka,Bengaluru South,Channapatna APMC,Ladies Finger,Ladies Finger,Local,29/08/2026,1500,2000,1800
Karnataka,Chitradurga,Chitradurga APMC,Cotton,DCH-32(Unginned),Local,29/08/2026,4000,12122,10459
Karnataka,Chitradurga,Chitradurga APMC,Arecanut(Betelnut/Supari),Bette,Local,29/08/2026,39429,40029,39529
Karnataka,Hassan,Arasikere APMC,Copra,Milling Copra,FAQ,29/08/2026,17000,20467,20467
Karnataka,Mandya,Mandya APMC,Gur(Jaggery),Other,Local,29/08/2026,4450,5120,4850
Karnataka,Mandya,Mandya APMC,Tender Coconut,Tender Coconut,Local,29/08/2026,14,40,25
Karnataka,Kolar,Bangarpet APMC,Rice,Broken Rice,Local,29/08/2026,2126,3300,3000
Karnataka,Kolar,Bangarpet APMC,Chilly Capsicum,Chilly Capsicum,Local,29/08/2026,1000,2500,2000
Karnataka,Kolar,Bangarpet APMC,Brinjal,Brinjal,Local,29/08/2026,1100,2000,1300
Karnataka,Uttara Kannada,Haliyala APMC,Paddy(Common),Paddy Medium,Local,29/08/2026,2000,2650,2650
