village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,ndvi_reliable,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,crop_name,des_historical_avg_yield_kg_ha,des_current_yield_kg_ha,des_yield_loss_pct,pmfby_claims_reported,pmfby_claim_amount_inr,pmfby_sum_insured_inr,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict
Devihosur (Haveri),Haveri,Devihosur,14.7833,75.3833,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.2477,0.3734,,False,-0.2316,-0.3224,99.22,97.84,-10.2,-17.37,-8.19,-14.48,1,631.7,404.01,-56.36,0,,,Rice,,2091.0,,3,78567.08,165000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Savanur (Haveri),Haveri,Savanur,14.975,75.335,2024-06-18,2024-08-10,2024-09-05,Kharif,2024,0.027,-0.0245,,False,-0.0362,0.0509,100.0,100.0,-6.6,-14.39,-6.3,-13.94,1,586.4,446.34,-31.38,0,,,Rice,,2091.0,,3,53043.57,127000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Gokak (Belagavi),Belagavi,Gokak,16.1667,74.8333,2024-06-25,2024-08-20,2024-09-15,Kharif,2024,0.0323,0.3644,,False,-0.0239,-0.3839,100.0,40.98,,,,,1,483.6,411.66,-17.48,0,,,Rice,,2561.0,,1,0.0,35000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Ramdurg (Belagavi),Belagavi,Ramdurg,15.95,75.2833,2024-06-22,2024-08-12,2024-09-08,Kharif,2024,-0.0368,0.4713,,False,0.057,-0.4101,100.0,100.0,-9.9,-16.84,-9.04,-15.33,1,488.8,320.73,-52.4,0,,,Rice,,2561.0,,1,39004.43,50000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Athani (Belagavi),Belagavi,Athani,16.7267,75.0633,2024-07-05,2024-09-01,2024-09-25,Kharif,2024,0.0413,0.1969,,False,-0.0387,-0.1822,100.0,74.08,-4.88,-13.97,-3.69,-13.06,1,607.0,351.45,-72.71,0,,,Rice,,2561.0,,3,121234.71,150000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Annigeri (Dharwad),Dharwad,Annigeri,15.4333,75.4333,2024-07-01,2024-08-25,2024-09-20,Kharif,2024,0.0803,0.0389,,False,-0.0549,-0.0311,100.0,100.0,-8.07,-16.17,-6.81,-14.54,1,494.7,353.39,-39.99,0,,,Rice,,1351.0,,1,28108.28,50000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Kundgol (Dharwad),Dharwad,Kundgol,15.2567,75.25,2024-06-28,2024-08-20,2024-09-15,Kharif,2024,0.0171,0.0549,,False,-0.0136,-0.0344,100.0,100.0,-7.31,-15.47,-7.2,-14.56,1,580.1,427.61,-35.66,0,,,Rice,,1351.0,,3,57130.7,157000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Navalgund (Dharwad),Dharwad,Navalgund,15.5667,75.35,2024-07-03,2024-08-28,2024-09-22,Kharif,2024,0.0489,0.1556,,False,-0.0424,-0.1468,100.0,100.0,-10.45,-18.72,-8.0,-14.88,1,481.7,357.18,-34.86,0,,,Rice,,1351.0,,4,143893.97,184000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Aland (Kalaburagi),Kalaburagi,Aland,17.5667,76.5667,2024-06-15,2024-08-10,2024-09-05,Kharif,2024,0.0287,0.0063,,False,-0.0216,0.0343,100.0,100.0,-5.07,-13.62,-4.91,-13.68,1,822.3,430.72,-90.91,0,,,Rice,,2563.0,,3,128760.22,142000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Chincholi (Kalaburagi),Kalaburagi,Chincholi,17.4667,77.4167,2024-06-12,2024-08-05,2024-09-01,Kharif,2024,0.1383,-0.0068,,False,-0.1383,-0.0006,100.0,100.0,-7.93,-15.91,-7.11,-14.9,1,847.4,521.67,-62.44,0,,,Rice,,2563.0,,2,65855.92,107000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Sedam (Kalaburagi),Kalaburagi,Sedam,17.1833,76.9333,2024-06-18,2024-08-08,2024-09-03,Kharif,2024,0.0681,-0.0053,,False,-0.0584,-0.0074,100.0,100.0,-11.21,-20.65,-10.18,-18.68,1,753.1,413.91,-81.95,0,,,Rice,,2563.0,,3,108185.11,142000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Afzalpur (Kalaburagi),Kalaburagi,Afzalpur,17.2,76.3667,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.0584,0.4199,,False,-0.0511,-0.3646,100.0,95.0,-8.44,-15.9,-7.51,-14.3,1,741.6,412.47,-79.79,0,,,Rice,,2563.0,,4,144028.34999999998,169000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Sindhanur (Raichur),Raichur,Sindhanur,15.7667,76.7667,2024-07-10,2024-09-01,2024-09-30,Kharif,2024,0.1669,0.4324,,False,-0.1527,-0.425,100.0,0.0,-8.51,-17.5,,,1,445.7,318.97,-39.73,0,,,Rice,,3755.0,,1,25356.68,50000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Manvi (Raichur),Raichur,Manvi,15.9833,76.5333,2024-07-08,2024-08-28,2024-09-25,Kharif,2024,0.3033,0.1217,,False,-0.3396,-0.0973,69.95,100.0,-9.56,-17.3,-9.52,-16.67,1,396.5,291.2,-36.16,0,,,Rice,,3755.0,,2,81327.44,107000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Devadurga (Raichur),Raichur,Devadurga,15.75,76.4833,2024-07-05,2024-08-25,2024-09-20,Kharif,2024,0.0353,-0.092,,False,-0.0408,0.1498,100.0,100.0,-9.81,-18.93,-7.74,-16.01,1,311.0,270.19,-15.1,0,,,Rice,,3755.0,,4,59466.22,207000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Lingsugur (Raichur),Raichur,Lingsugur,16.1567,76.5233,2024-07-12,2024-09-05,2024-10-01,Kharif,2024,0.0125,0.3365,,False,-0.0122,-0.3452,100.0,0.0,-7.39,-15.45,,,1,436.9,333.73,-30.91,0,,,Rice,,3755.0,,1,36843.55,65000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Gangavathi (Koppal),Koppal,Gangavathi,15.4317,76.5317,2024-07-01,2024-08-25,2024-09-18,Kharif,2024,0.1691,0.044,,False,-0.1667,-0.0164,100.0,100.0,-5.19,-15.18,-5.01,-14.87,1,310.8,265.66,-16.99,0,,,Rice,,4243.0,,4,0.0,222000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Kushtagi (Koppal),Koppal,Kushtagi,15.7567,76.1917,2024-07-06,2024-08-30,2024-09-25,Kharif,2024,0.1091,0.1946,,False,-0.1042,-0.2005,100.0,100.0,-7.04,-16.13,-5.79,-15.14,1,435.3,308.95,-40.9,0,,,Rice,,4243.0,,2,82817.73,115000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Yelburga (Koppal),Koppal,Yelburga,15.6,76.0167,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.0638,0.2668,,False,-0.0581,-0.278,100.0,96.44,-8.79,-17.69,-8.28,-16.14,1,457.9,310.71,-47.37,0,,,Rice,,4243.0,,3,58355.45,112000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Koppal Town (Koppal),Koppal,Koppal Town,15.35,76.15,2024-07-02,2024-08-22,2024-09-15,Kharif,2024,0.0916,0.1333,,False,-0.0932,-0.1116,100.0,100.0,-6.39,-14.81,-6.6,-14.97,1,397.6,248.5,-60.0,0,,,Rice,,4243.0,,4,134980.96000000002,192000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Indi (Vijayapura),Vijayapura,Indi,17.175,75.9533,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.0218,0.2981,,False,-0.0003,-0.2893,100.0,99.71,-7.11,-14.39,-6.68,-14.11,1,694.5,369.77,-87.82,0,,,Rice,,3394.0,,4,105501.77,176000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Muddebihal (Vijayapura),Vijayapura,Muddebihal,16.3333,76.1333,2024-06-28,2024-08-20,2024-09-15,Kharif,2024,0.1117,0.3319,,False,-0.1174,-0.3461,100.0,43.36,-6.41,-13.95,,,1,522.0,310.71,-68.0,0,,,Rice,,3394.0,,1,30045.56,50000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Basavana Bagewadi (Vijayapura),Vijayapura,Basavana Bagewadi,16.5667,75.9667,2024-06-30,2024-08-22,2024-09-18,Kharif,2024,0.1708,0.3452,,False,-0.154,-0.366,100.0,52.45,-7.96,-15.53,-7.6,-14.22,1,498.0,351.53,-41.67,0,,,Rice,,3394.0,,3,82197.83,135000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Sindgi (Vijayapura),Vijayapura,Sindgi,16.9167,76.2333,2024-06-22,2024-08-14,2024-09-08,Kharif,2024,0.0813,0.1851,,False,-0.064,-0.1942,100.0,53.98,-5.89,-15.21,-5.6,-14.82,1,612.9,314.49,-94.89,0,,,Rice,,3394.0,,1,39801.57,50000,FALSE,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
Ron (Gadag),Gadag,Ron,15.6833,75.7333,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.1358,0.2652,,False,-0.1066,-0.3174,100.0,39.48,-8.73,-16.96,,,1,477.4,328.26,-45.43,0,,,Rice,,3106.0,,3,96583.16,150000,NO_DATA,FALSE,NO_DATA,NO_DATA,INCONCLUSIVE
